,,,,
Dialogue ID,9125,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Hello doctor, please see img_d9125-1. Would you please tell me its cause?",Sure. Do you have Lip swelling?,O O O O O B-Symptom O O O O O O O O O,Symptom,Skin rash
"Yes, see img_d9125-2.",Are you also suffering from Shortness of breath?,O O O B-Syptom O,Symptom,Lip swelling
"True, I am dealing with Shortness of breath.","Ok, have you got throat swelling?",O O O O O O B-Symptom I-Symptom I-Symptom O,Symptom,
That is right.,"Okay, based on your symptoms, you might have Drug reaction.",O O O O,Affirmative,
"Disease: Drug reaction, Group: 19",,,,
,,,,
Dialogue ID,1812,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Doctor, I am suffering from Fever.","Ok, have you got Skin rash too?",O O O O O O B-Symptom O,Symptom,
You are correct.,Are you suffering from Vomiting?,O O O O,Affirmative,
"Yes, doctor.",Do you have Mouth ulcer?,O O O O,Affirmative,
I think so. See img_d1812-1.,Do you have Difficulty in swallowing?,O O O O O B-Symptom O,Symptom,Mouth ulcer
"Exactly, I have Difficulty in swallowing.","Then, you might have Erythema multiforme.",O O O O B-Symptom I-Symptom I-Symptom O,Symptom,
"Disease: Erythema multiforme, Group: 12",,,,
,,,,
Dialogue ID,22535,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Hello doctor, I am suffering from Blindness. Please, tell me its cause.","Ok. Tell me, are you having Diminished vision issues?",O O O O O O O B-Symptom O O O O O O O O,Symptom,
"Yes, I have noticed Diminished vision.","Fine, have you got Symptoms of eye?",O O O O O B-Symptom I-Symptom O,Symptom,
I have felt so.,"Alright, `I think you have Central retinal artery or vein occlusion.",O O O O O,Affirmative,
"Disease: Central retinal artery or vein occlusion, Group: 7",,,,
,,,,
Dialogue ID,26439,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Hello doctor, please see img_d26439-1. Let me know its cause.","Ok, do you have Skin rash?",O O O O O B-Symptom O O O O O O O,Symptom,Skin lesion
"Certainly, please have a look at it, img_d26439-2.","Fine, tell me, are you suffering from Swelling of scrotum?",O O O O O O O O O B-Symptom O,Symptom,Skin rash
"Yes, doctor.",Alright. I think you have Acariasis.,O O O O,Affirmative,
"Disease: Acariasis, Group: 1",,,,
,,,,
Dialogue ID,13025,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Doctor, I have experienced Diminished hearing. Would you please tell me its cause?","Sure. First tell me, do you got Ear pain?",O O O O O B-Symptom I-Symptom O O O O O O O O O,Symptom,
"Indeed, doctor.",Have you seen Redness in ear.,O O O O,Affirmative,
"Yes, see img_d13025-1.","Also, have you got Ringing in ear?",O O O B-Symptom O,Symptom,Redness in ear
"For sure, I am struggling with it.",Are you also dealing with Difficulty speaking?,O O O O O O O O O,Affirmative,
"Yes, I have got Difficulty speaking.","Fine, as per your symptoms, you have Conductive hearing loss.",O O O O O B-Symptom I-Symptom O,Symptom,
"Disease: Conductive hearing loss, Group: 7",,,,
,,,,
Dialogue ID,15276,,,
Patient,Doctor,Symptom,Intent type,Image Information
"Hello doctor, I am dealing with Itching of skin.","Alright, are you suffering from Diarrhea too?",O O O O O O O B-Symptom I-Symptom I-Symptom O,Symptom,
"Literally, I have trouble with it.",Have you got Skin rash?,O O O O O O O O,Affirmative,
"Yes, please see img_d15276-1.",I see. Have you observed Irritable infant?,O O O O B-Symptom O,Symptom,Skin rash
